Date,MSM availability,PPP availability,Mean Nsat tracked,Mean Nsat used in PPP,PPP H95,P2P PPP H95,P2P Struna H95,PVT
01.02.2024,90.0811179408704,65.6995886998914,31.5399290121467,19.8731810863943,0.0843205993397579,0.107768548977368,0.291564746701682,1
02.02.2024,95.3191698943479,67.5716225197655,30.4380508347089,15.0883780752592,0.0202715472250615,0.107536602149539,0.247335061958439,1
03.02.2024,93.5274675390444,65.7193752459365,33.0277033062681,17.2097996499648,0.0833599749216227,0.124474873153888,0.258386646238647,1
04.02.2024,95.6537421627755,62.0273413047939,30.4312574102219,17.4458377716392,0.0656222751528032,0.196746512210178,0.245560179800711,1
05.02.2024,96.3075417972627,68.7074252831926,30.2378669165129,15.0461930543828,0.052162985166197,0.15044680877583,0.299090551839281,1
06.02.2024,92.2384919926919,65.2879056492211,31.3168944064437,18.1343192996929,0.0343361923105316,0.184531507630915,0.217945750632132,1
07.02.2024,91.6322414394197,60.9723590414272,34.9985931906851,15.8744028888675,0.0788574920964115,0.152727997232453,0.283936415612611,1
08.02.2024,95.2646126124206,66.4331178678116,31.6763295661175,17.6058718155613,0.00440143791764926,0.199157866630919,0.221347399770825,1
09.02.2024,93.3854230189465,65.6499685260755,34.979807487099,15.3945109071019,0.000704756224298534,0.165450751355074,0.21676568029678,1
10.02.2024,95.8615005602453,61.183015928764,34.0933613440547,16.0752556221153,0.0210178271896443,0.177374917107516,0.272525110358718,1
11.02.2024,94.4609857378694,67.8137225439501,30.2726402450811,19.7439884220138,0.0875093490346295,0.1590037221264,0.254546762708328,1
12.02.2024,98.415968091524,65.7950998935908,33.2191695941683,19.6583795318219,0.0860509951355204,0.182019160377169,0.213426014735683,1
13.02.2024,99.4428620635176,65.0476580775933,34.959619610593,17.3186293079796,0.011533167736501,0.170846426968475,0.26471723567804,1
14.02.2024,90.8804966693301,63.1652676679714,31.4719727379613,19.6707875266862,0.0424199051308807,0.166411862131717,0.2989678558231,1
15.02.2024,93.7462623708296,60.8311858948728,30.1304988454081,15.7448114775335,0.0436168605386254,0.15889365322583,0.267527009993359,1
16.02.2024,94.6333372321024,69.0391371971401,33.9901069286793,19.5197114318824,0.0119824206186235,0.102666350946213,0.282866170331757,1
17.02.2024,98.9774409010143,61.5262417146714,31.6495165859477,15.1060517598874,0.0866949857953649,0.107226374868884,0.245959061208024,1
18.02.2024,94.5608101807954,62.6813397684338,33.0783932412092,19.6120478585605,0.0721365228257469,0.114274937053279,0.265140998298474,1
19.02.2024,91.7125569697847,65.8604704271873,31.9265588640409,15.8020714343312,0.0481698188781973,0.184568597120901,0.237476562199828,1
20.02.2024,91.09577982933,69.073342863431,31.9521547432949,16.6724843917416,0.0157792127150855,0.182401198318197,0.270172727966951,1
21.02.2024,98.1929521347737,61.4810160385743,33.7947924617002,15.007559115541,0.0483520031587522,0.143357645946299,0.265091746378537,1
